model,train_seconds,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
itransformer,45.225961208343506,332.1605529785156,485.8005152580635,0.9398078918457031,347.96514892578125,540.6955589793577,0.9246439933776855
xgboost,21.093615770339966,440.18707275390625,618.7754792733791,0.9023460149765015,449.900146484375,642.816556258471,0.8934909701347351
linear_regression,0.10152935981750488,931.012451171875,1194.0660576366786,0.6363525986671448,932.3966674804688,1185.043248155948,0.6380231380462646
